identifier,rank,cons,inhS,minS,cov,score,covQuality,div,runTime
TKGrouping-Def-Def-InvSim--,0,0.42,0.87,0.42,1.0,0.64,0.71,0.0,2.78
TKGrouping-Def-Def-InvSim--,1,0.41,0.79,0.34,1.0,0.6,0.67,0.4,2.78
TKGrouping-Def-Def-InvSim--,2,0.38,0.77,0.31,1.0,0.58,0.66,0.4,2.78
TKGrouping-Def-Def-InvSim--,3,0.32,0.73,0.28,1.0,0.52,0.64,0.42,2.78
TKGrouping-Def-Def-InvSim--,4,0.31,0.73,0.26,1.0,0.52,0.63,0.44,2.78
TKGrouping-Def-Def-InvSim--,5,0.31,0.68,0.26,1.0,0.5,0.63,0.46,2.78
TKGrouping-Def-Def-InvSim--,6,0.31,0.71,0.24,1.0,0.51,0.62,0.46,2.78
TKGrouping-Def-Def-InvSim--,7,0.29,0.67,0.23,1.0,0.48,0.62,0.46,2.78
TKGrouping-Def-Def-InvSim--,8,0.31,0.68,0.23,1.0,0.5,0.62,0.46,2.78
TKGrouping-Def-Def-InvSim--,9,0.32,0.67,0.24,1.0,0.5,0.62,0.46,2.78
Grouping-Def-Def-InvSim--,0,0.4,0.84,0.35,1.0,0.62,0.68,0.0,1.28
Gr-Def-Dyn-InvSim-0.6-0.0,0,0.9,0.95,0.82,0.55,0.92,0.69,0.0,7.43
Gr-Def-Dyn-InvSim-0.6-0.0,1,0.95,0.84,0.86,0.45,0.9,0.66,0.95,7.43
Gr-Def-Dyn-InvSim-0.6-0.0,2,0.88,0.79,0.71,0.31,0.84,0.51,0.96,7.43
Gr-Def-Dyn-InvSim-0.6-0.0,3,0.98,0.77,0.91,0.13,0.87,0.52,0.97,7.43
Gr-Def-Dyn-InvSim-0.6-0.0,4,0.97,0.73,0.88,0.1,0.85,0.49,0.98,7.49
Gr-Def-Dyn-InvSim-0.6-0.0,5,0.96,0.7,0.87,0.14,0.83,0.51,0.99,7.62
Gr-Def-Dyn-InvSim-0.6-0.0,6,0.97,0.63,0.91,0.08,0.8,0.5,0.99,7.62
Gr-Def-Dyn-InvSim-0.6-0.0,7,0.98,0.62,0.94,0.1,0.8,0.52,0.99,7.62
Gr-Def-Dyn-InvSim-0.6-0.0,8,0.99,0.6,0.95,0.1,0.79,0.53,0.99,7.62
Gr-Def-Dyn-InvSim-0.6-0.0,9,0.99,0.58,0.98,0.09,0.79,0.53,0.99,7.62
Gr-Def-Dyn-InvSim-0.4-0.9,0,0.57,0.86,0.5,0.98,0.71,0.74,0.0,22.18
Gr-Def-Dyn-InvSim-0.4-0.9,1,0.48,0.69,0.47,0.83,0.58,0.65,0.8,22.18
Gr-Def-Dyn-InvSim-0.4-0.9,2,0.38,0.67,0.34,0.83,0.53,0.59,0.78,22.18
Gr-Def-Dyn-InvSim-0.4-0.9,3,0.27,0.65,0.32,0.84,0.46,0.58,0.75,22.63
Gr-Def-Dyn-InvSim-0.4-0.9,4,0.28,0.62,0.29,0.85,0.45,0.57,0.74,23.05
Gr-Def-Dyn-InvSim-0.4-0.9,5,0.27,0.62,0.3,0.86,0.45,0.58,0.73,23.05
Gr-Def-Dyn-InvSim-0.4-0.9,6,0.26,0.63,0.3,0.86,0.44,0.58,0.72,23.05
Gr-Def-Dyn-InvSim-0.4-0.9,7,0.23,0.58,0.24,0.87,0.41,0.55,0.72,23.27
Gr-Def-Dyn-InvSim-0.4-0.9,8,0.23,0.64,0.28,0.87,0.44,0.57,0.72,23.27
Gr-Def-Dyn-InvSim-0.4-0.9,9,0.22,0.55,0.25,0.87,0.39,0.56,0.71,23.27
Gr-Def-Dyn-InvSim-0.4-0.0,0,0.66,0.89,0.59,0.78,0.78,0.69,0.0,8.2
Gr-Def-Dyn-InvSim-0.4-0.0,1,0.78,0.78,0.64,0.57,0.78,0.61,0.92,8.2
Gr-Def-Dyn-InvSim-0.4-0.0,2,0.87,0.77,0.77,0.32,0.82,0.55,0.94,8.2
Gr-Def-Dyn-InvSim-0.4-0.0,3,0.91,0.7,0.85,0.14,0.8,0.5,0.96,8.33
Gr-Def-Dyn-InvSim-0.4-0.0,4,0.92,0.63,0.85,0.12,0.78,0.48,0.97,8.43
Gr-Def-Dyn-InvSim-0.4-0.0,5,0.94,0.62,0.88,0.17,0.78,0.53,0.97,8.43
Gr-Def-Dyn-InvSim-0.4-0.0,6,0.94,0.64,0.89,0.1,0.79,0.5,0.98,8.43
Gr-Def-Dyn-InvSim-0.4-0.0,7,0.9,0.58,0.82,0.11,0.74,0.46,0.98,8.6
Gr-Def-Dyn-InvSim-0.4-0.0,8,0.93,0.6,0.85,0.11,0.76,0.48,0.98,8.6
Gr-Def-Dyn-InvSim-0.4-0.0,9,0.99,0.56,0.97,0.08,0.77,0.53,0.98,8.67
Gr-Def-Dyn-InvSim-0.0-1.0,0,0.51,0.85,0.48,1.0,0.68,0.74,0.0,22.5
Gr-Def-Dyn-InvSim-0.0-1.0,1,0.45,0.68,0.46,0.85,0.57,0.65,0.79,22.5
Gr-Def-Dyn-InvSim-0.0-1.0,2,0.33,0.67,0.33,0.85,0.5,0.59,0.76,22.5
Gr-Def-Dyn-InvSim-0.0-1.0,3,0.28,0.65,0.3,0.87,0.47,0.58,0.74,22.98
Gr-Def-Dyn-InvSim-0.0-1.0,4,0.27,0.63,0.27,0.88,0.45,0.58,0.72,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,5,0.25,0.62,0.27,0.89,0.43,0.58,0.71,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,6,0.29,0.64,0.3,0.89,0.47,0.59,0.71,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,7,0.22,0.59,0.22,0.89,0.4,0.55,0.7,23.66
Gr-Def-Dyn-InvSim-0.0-1.0,8,0.24,0.64,0.28,0.89,0.44,0.59,0.7,23.66
Gr-Def-Dyn-InvSim-0.0-1.0,9,0.23,0.57,0.26,0.89,0.4,0.57,0.69,23.66
Gr-Def-Def-InvSim-0.6-0.0,0,0.91,0.94,0.87,0.56,0.93,0.71,0.0,2.86
Gr-Def-Def-InvSim-0.6-0.0,1,0.87,0.81,0.68,0.5,0.84,0.59,0.93,2.86
Gr-Def-Def-InvSim-0.6-0.0,2,0.88,0.73,0.75,0.37,0.81,0.56,0.95,2.86
Gr-Def-Def-InvSim-0.6-0.0,3,0.9,0.72,0.71,0.24,0.81,0.47,0.97,2.81
Gr-Def-Def-InvSim-0.6-0.0,4,0.91,0.67,0.75,0.19,0.79,0.47,0.97,2.71
Gr-Def-Def-InvSim-0.6-0.0,5,0.95,0.65,0.85,0.1,0.8,0.48,0.98,2.71
Gr-Def-Def-InvSim-0.6-0.0,6,0.96,0.63,0.86,0.08,0.79,0.47,0.98,2.71
Gr-Def-Def-InvSim-0.6-0.0,7,0.95,0.58,0.9,0.12,0.77,0.51,0.99,2.71
Gr-Def-Def-InvSim-0.6-0.0,8,0.92,0.53,0.8,0.11,0.73,0.45,0.99,2.71
Gr-Def-Def-InvSim-0.6-0.0,9,0.95,0.5,0.86,0.12,0.73,0.49,0.99,2.71
Gr-Def-Def-InvSim-0.4-0.9,0,0.61,0.85,0.56,0.97,0.73,0.76,0.0,10.45
Gr-Def-Def-InvSim-0.4-0.9,1,0.48,0.68,0.46,0.96,0.58,0.71,0.68,10.45
Gr-Def-Def-InvSim-0.4-0.9,2,0.39,0.65,0.37,0.96,0.52,0.66,0.67,10.47
Gr-Def-Def-InvSim-0.4-0.9,3,0.27,0.66,0.35,0.95,0.47,0.65,0.66,10.02
Gr-Def-Def-InvSim-0.4-0.9,4,0.29,0.65,0.31,0.95,0.47,0.63,0.65,10.02
Gr-Def-Def-InvSim-0.4-0.9,5,0.25,0.59,0.28,0.95,0.42,0.61,0.65,10.02
Gr-Def-Def-InvSim-0.4-0.9,6,0.26,0.63,0.28,0.95,0.45,0.62,0.64,10.02
Gr-Def-Def-InvSim-0.4-0.9,7,0.23,0.63,0.34,0.95,0.43,0.64,0.63,10.02
Gr-Def-Def-InvSim-0.4-0.9,8,0.25,0.62,0.24,0.95,0.43,0.59,0.64,9.78
Gr-Def-Def-InvSim-0.4-0.9,9,0.24,0.61,0.28,0.95,0.42,0.62,0.63,9.78
Gr-Def-Def-InvSim-0.4-0.0,0,0.69,0.88,0.65,0.79,0.78,0.72,0.0,5.66
Gr-Def-Def-InvSim-0.4-0.0,1,0.75,0.74,0.63,0.61,0.75,0.62,0.91,5.66
Gr-Def-Def-InvSim-0.4-0.0,2,0.73,0.65,0.64,0.48,0.69,0.56,0.92,5.56
Gr-Def-Def-InvSim-0.4-0.0,3,0.8,0.62,0.73,0.31,0.71,0.52,0.93,5.05
Gr-Def-Def-InvSim-0.4-0.0,4,0.9,0.61,0.87,0.22,0.76,0.55,0.94,5.05
Gr-Def-Def-InvSim-0.4-0.0,5,0.84,0.54,0.69,0.17,0.69,0.43,0.96,5.05
Gr-Def-Def-InvSim-0.4-0.0,6,0.87,0.56,0.75,0.17,0.71,0.46,0.96,5.05
Gr-Def-Def-InvSim-0.4-0.0,7,0.82,0.54,0.67,0.13,0.68,0.4,0.96,4.73
Gr-Def-Def-InvSim-0.4-0.0,8,0.78,0.47,0.63,0.19,0.62,0.41,0.98,4.15
Gr-Def-Def-InvSim-0.4-0.0,9,0.89,0.43,0.8,0.11,0.66,0.45,0.98,3.65
Gr-Def-Def-InvSim-0.0-1.0,0,0.49,0.84,0.53,1.0,0.66,0.77,0.0,10.59
Gr-Def-Def-InvSim-0.0-1.0,1,0.42,0.68,0.43,1.0,0.55,0.72,0.63,10.59
Gr-Def-Def-InvSim-0.0-1.0,2,0.32,0.65,0.34,1.0,0.48,0.67,0.63,10.58
Gr-Def-Def-InvSim-0.0-1.0,3,0.23,0.66,0.34,1.0,0.45,0.67,0.62,10.14
Gr-Def-Def-InvSim-0.0-1.0,4,0.29,0.65,0.3,1.0,0.47,0.65,0.61,10.14
Gr-Def-Def-InvSim-0.0-1.0,5,0.24,0.6,0.26,1.0,0.42,0.63,0.6,10.14
Gr-Def-Def-InvSim-0.0-1.0,6,0.25,0.63,0.29,1.0,0.44,0.65,0.59,10.14
Gr-Def-Def-InvSim-0.0-1.0,7,0.24,0.65,0.31,1.0,0.44,0.65,0.59,10.14
Gr-Def-Def-InvSim-0.0-1.0,8,0.24,0.6,0.21,1.0,0.42,0.61,0.59,9.88
Gr-Def-Def-InvSim-0.0-1.0,9,0.23,0.61,0.26,1.0,0.42,0.63,0.59,9.88
Gr*-Divf-Dyn-InvSim-0.6-0.0,0,0.99,0.93,1.0,0.49,0.96,0.75,0.0,92.93
Gr*-Divf-Dyn-InvSim-0.6-0.0,1,1.0,0.84,1.0,0.44,0.92,0.72,0.86,92.93
Gr*-Divf-Dyn-InvSim-0.6-0.0,2,1.0,0.79,1.0,0.4,0.89,0.7,0.88,92.93
Gr*-Divf-Dyn-InvSim-0.6-0.0,3,0.97,0.79,0.94,0.41,0.88,0.67,0.9,92.93
Gr*-Divf-Dyn-InvSim-0.6-0.0,4,0.99,0.74,0.99,0.33,0.86,0.66,0.91,95.07
Gr*-Divf-Dyn-InvSim-0.6-0.0,5,0.99,0.69,0.98,0.33,0.84,0.65,0.92,97.33
Gr*-Divf-Dyn-InvSim-0.6-0.0,6,0.99,0.65,1.0,0.25,0.82,0.62,0.93,97.33
Gr*-Divf-Dyn-InvSim-0.6-0.0,7,0.99,0.62,0.98,0.23,0.81,0.6,0.94,97.33
Gr*-Divf-Dyn-InvSim-0.6-0.0,8,0.95,0.63,0.9,0.2,0.79,0.55,0.95,97.33
Gr*-Divf-Dyn-InvSim-0.6-0.0,9,0.93,0.59,0.8,0.15,0.76,0.48,0.95,99.66
Gr*-Divf-Dyn-InvSim-0.4-0.9,0,0.61,0.85,0.56,0.94,0.73,0.75,0.0,292.61
Gr*-Divf-Dyn-InvSim-0.4-0.9,1,0.58,0.73,0.54,0.85,0.65,0.69,0.62,292.61
Gr*-Divf-Dyn-InvSim-0.4-0.9,2,0.48,0.71,0.52,0.86,0.59,0.69,0.59,292.61
Gr*-Divf-Dyn-InvSim-0.4-0.9,3,0.42,0.71,0.46,0.88,0.57,0.67,0.6,299.4
Gr*-Divf-Dyn-InvSim-0.4-0.9,4,0.38,0.67,0.48,0.88,0.53,0.68,0.61,306.5
Gr*-Divf-Dyn-InvSim-0.4-0.9,5,0.38,0.65,0.47,0.87,0.51,0.67,0.62,306.5
Gr*-Divf-Dyn-InvSim-0.4-0.9,6,0.33,0.64,0.45,0.87,0.48,0.66,0.63,306.5
Gr*-Divf-Dyn-InvSim-0.4-0.9,7,0.29,0.66,0.43,0.86,0.48,0.65,0.64,313.88
Gr*-Divf-Dyn-InvSim-0.4-0.9,8,0.25,0.67,0.4,0.86,0.46,0.63,0.65,313.88
Gr*-Divf-Dyn-InvSim-0.4-0.9,9,0.25,0.62,0.32,0.86,0.44,0.59,0.67,313.88
Gr*-Divf-Dyn-InvSim-0.4-0.0,0,0.99,0.89,1.0,0.48,0.94,0.74,0.0,90.36
Gr*-Divf-Dyn-InvSim-0.4-0.0,1,0.99,0.81,1.0,0.43,0.9,0.72,0.87,90.36
Gr*-Divf-Dyn-InvSim-0.4-0.0,2,0.95,0.75,0.95,0.48,0.85,0.71,0.88,90.36
Gr*-Divf-Dyn-InvSim-0.4-0.0,3,0.95,0.74,0.9,0.47,0.84,0.68,0.89,92.47
Gr*-Divf-Dyn-InvSim-0.4-0.0,4,0.99,0.71,0.98,0.29,0.85,0.63,0.91,94.64
Gr*-Divf-Dyn-InvSim-0.4-0.0,5,0.95,0.71,0.9,0.36,0.83,0.63,0.92,94.64
Gr*-Divf-Dyn-InvSim-0.4-0.0,6,0.97,0.66,0.93,0.24,0.81,0.59,0.93,94.64
Gr*-Divf-Dyn-InvSim-0.4-0.0,7,0.93,0.67,0.91,0.27,0.8,0.59,0.93,99.28
Gr*-Divf-Dyn-InvSim-0.4-0.0,8,0.95,0.61,0.89,0.22,0.78,0.55,0.94,99.28
Gr*-Divf-Dyn-InvSim-0.4-0.0,9,0.83,0.64,0.75,0.26,0.74,0.5,0.94,104.39
Gr*-Divf-Dyn-InvSim-0.0-1.0,0,0.59,0.84,0.55,0.96,0.72,0.75,0.0,298.41
Gr*-Divf-Dyn-InvSim-0.0-1.0,1,0.52,0.75,0.51,0.86,0.63,0.69,0.57,298.41
Gr*-Divf-Dyn-InvSim-0.0-1.0,2,0.43,0.69,0.5,0.88,0.56,0.69,0.57,298.41
Gr*-Divf-Dyn-InvSim-0.0-1.0,3,0.38,0.7,0.46,0.9,0.54,0.68,0.58,305.35
Gr*-Divf-Dyn-InvSim-0.0-1.0,4,0.37,0.68,0.44,0.89,0.53,0.66,0.59,312.6
Gr*-Divf-Dyn-InvSim-0.0-1.0,5,0.32,0.66,0.46,0.9,0.49,0.68,0.61,312.6
Gr*-Divf-Dyn-InvSim-0.0-1.0,6,0.28,0.66,0.43,0.89,0.47,0.66,0.62,312.6
Gr*-Divf-Dyn-InvSim-0.0-1.0,7,0.27,0.67,0.39,0.89,0.47,0.64,0.63,320.12
Gr*-Divf-Dyn-InvSim-0.0-1.0,8,0.25,0.66,0.37,0.89,0.45,0.63,0.64,320.12
Gr*-Divf-Dyn-InvSim-0.0-1.0,9,0.25,0.62,0.29,0.89,0.44,0.59,0.65,320.12
Gr*-Divf-Def-InvSim-0.6-0.0,0,0.98,0.95,1.0,0.48,0.96,0.74,0.0,25.36
Gr*-Divf-Def-InvSim-0.6-0.0,1,1.0,0.81,1.0,0.43,0.91,0.72,0.86,25.36
Gr*-Divf-Def-InvSim-0.6-0.0,2,0.97,0.8,0.95,0.45,0.88,0.7,0.87,25.36
Gr*-Divf-Def-InvSim-0.6-0.0,3,0.99,0.75,0.97,0.38,0.87,0.68,0.89,25.91
Gr*-Divf-Def-InvSim-0.6-0.0,4,0.98,0.71,0.98,0.36,0.84,0.67,0.9,26.5
Gr*-Divf-Def-InvSim-0.6-0.0,5,0.98,0.67,0.98,0.28,0.83,0.63,0.92,26.5
Gr*-Divf-Def-InvSim-0.6-0.0,6,0.96,0.63,0.92,0.31,0.79,0.62,0.93,26.5
Gr*-Divf-Def-InvSim-0.6-0.0,7,0.93,0.59,0.89,0.29,0.76,0.59,0.94,26.5
Gr*-Divf-Def-InvSim-0.6-0.0,8,0.86,0.68,0.72,0.27,0.77,0.49,0.94,26.5
Gr*-Divf-Def-InvSim-0.6-0.0,9,0.85,0.62,0.63,0.21,0.73,0.42,0.95,27.1
Gr*-Divf-Def-InvSim-0.4-0.9,0,0.64,0.84,0.57,0.96,0.74,0.77,0.0,75.48
Gr*-Divf-Def-InvSim-0.4-0.9,1,0.59,0.77,0.54,0.97,0.68,0.75,0.34,75.48
Gr*-Divf-Def-InvSim-0.4-0.9,2,0.49,0.75,0.53,0.96,0.62,0.75,0.39,77.21
Gr*-Divf-Def-InvSim-0.4-0.9,3,0.44,0.73,0.52,0.96,0.59,0.74,0.44,78.93
Gr*-Divf-Def-InvSim-0.4-0.9,4,0.38,0.71,0.48,0.96,0.54,0.72,0.48,78.93
Gr*-Divf-Def-InvSim-0.4-0.9,5,0.35,0.69,0.47,0.96,0.52,0.71,0.51,78.93
